"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 08-Mar-2026",168411.16,161289.85,163198.32,,5238.17,5016.68,5076.04,
"00:00:00 26-Feb-2026",174214.45,160687.98,166309.54,,5418.68,4997.95,5172.80,
"00:00:00 16-Feb-2026",168767.63,155911.11,166012.15,,5249.26,4849.38,5163.56,
"00:00:00 06-Feb-2026",164565.93,149695.56,161422.07,,5118.57,4656.05,5020.79,
"00:00:00 27-Jan-2026",179874.43,141589.72,151235.75,,5594.72,4403.93,4703.96,
"00:00:00 17-Jan-2026",164291.12,147774.48,162169.01,,5110.03,4596.30,5044.02,
"00:00:00 07-Jan-2026",149262.49,141744.20,147799.23,,4642.58,4408.74,4597.07,
"00:00:00 28-Dec-2025",146266.37,137463.17,144461.74,,4549.39,4275.58,4493.26,
"00:00:00 18-Dec-2025",146277.46,138542.95,145801.55,,4549.74,4309.17,4534.94,
"00:00:00 08-Dec-2025",139939.66,134093.76,139504.66,,4352.61,4170.78,4339.08,
"00:00:00 28-Nov-2025",137102.36,133497.95,135080.00,,4264.36,4152.25,4201.46,
"00:00:00 18-Nov-2025",134175.92,128556.45,133865.40,,4173.34,3998.55,4163.68,
"00:00:00 08-Nov-2025",136469.47,128547.85,129794.65,,4244.68,3998.29,4037.06,
"00:00:00 29-Oct-2025",130064.08,125897.42,128612.63,,4045.45,3915.85,4000.30,
"00:00:00 19-Oct-2025",140854.19,124968.25,127453.87,,4381.06,3886.95,3964.26,
"00:00:00 09-Oct-2025",140792.14,126868.37,136720.09,,4379.13,3946.05,4252.47,
"00:00:00 29-Sep-2025",130502.85,121015.41,129012.99,,4059.09,3764.00,4012.75,
"00:00:00 19-Sep-2025",121884.77,116804.06,121108.97,,3791.04,3633.01,3766.91,
"00:00:00 09-Sep-2025",119193.75,116212.39,117037.53,,3707.34,3614.61,3640.27,
"00:00:00 30-Aug-2025",117227.97,110510.64,116870.29,,3646.20,3437.27,3635.07,
"00:00:00 20-Aug-2025",111041.53,106471.54,110848.94,,3453.78,3311.64,3447.79,
"00:00:00 10-Aug-2025",109450.14,106519.52,106561.00,,3404.28,3313.13,3314.42,
"00:00:00 31-Jul-2025",109602.54,105515.70,109272.35,,3409.02,3281.91,3398.75,
"00:00:00 21-Jul-2025",110566.42,105081.58,105627.26,,3439.00,3268.40,3285.38,
"00:00:00 11-Jul-2025",108551.53,106420.10,107677.67,,3376.33,3310.04,3349.15,
"00:00:00 01-Jul-2025",108210.09,105553.15,106868.28,,3365.71,3283.07,3323.98,
"00:00:00 21-Jun-2025",109209.10,104455.52,106501.04,,3396.78,3248.93,3312.55,
"00:00:00 11-Jun-2025",110956.49,106736.62,108304.19,,3451.13,3319.88,3368.64,
"00:00:00 01-Jun-2025",109417.27,105775.63,106992.94,,3403.26,3289.99,3327.85,
"00:00:00 22-May-2025",108214.51,104361.00,105775.63,,3365.85,3245.99,3289.99,
"00:00:00 12-May-2025",106894.40,100364.74,106747.07,,3324.79,3121.69,3320.21,
"00:00:00 02-May-2025",110553.56,103622.67,105690.44,,3438.60,3223.03,3287.34,
"00:00:00 22-Apr-2025",112502.70,102998.21,104096.73,,3499.23,3203.60,3237.77,
"00:00:00 12-Apr-2025",110736.25,102690.37,110426.72,,3444.28,3194.03,3434.65,
"00:00:00 02-Apr-2025",104333.35,95064.85,104091.41,,3245.13,2956.85,3237.60,
