Date,USD,t,log_price
2018-01-31,1331.7,0,7.194211600508099
2018-02-28,1331.5,1,7.194061405253987
2018-03-30,1324.7,2,7.188941297690216
2018-04-30,1334.7,3,7.196461826480106
2018-05-31,1303.0,4,7.172424577124845
2018-06-29,1281.6,5,7.1558645763140944
2018-07-31,1238.5,6,7.121656248929415
2018-08-31,1201.3,7,7.09115958272733
2018-09-28,1198.5,8,7.088826053874439
2018-10-31,1215.4,9,7.102828519701255
2018-11-30,1221.0,10,7.107425474110705
2018-12-31,1247.9,11,7.129217417513809
2019-01-31,1291.8,12,7.163791873598372
2019-02-28,1320.1,13,7.185462770286714
2019-03-29,1300.9,14,7.170811611607514
2019-04-30,1286.5,15,7.159680631721799
2019-05-31,1284.0,16,7.157735484249907
2019-06-28,1359.0,17,7.214504414151143
2019-07-31,1413.0,18,7.253470382684528
2019-08-30,1498.8,19,7.3124200669195325
2019-09-30,1511.3,20,7.320725486576075
2019-10-31,1494.8,21,7.3097476976113285
2019-11-29,1470.0,22,7.293017679772782
2019-12-31,1476.0,23,7.297091005160418
2020-01-31,1560.7,24,7.352889717548508
2020-02-28,1597.1,25,7.375944763662264
2020-03-31,1591.9,26,7.37268355036109
2020-04-30,1682.9,27,7.4282737747190275
2020-05-29,1716.4,28,7.44798435311737
2020-06-30,1732.2,29,7.4571475558969444
2020-07-31,1843.3,30,7.519312722502128
2020-08-31,1968.6,31,7.585077909195111
2020-09-30,1922.2,32,7.561225642389184
2020-10-30,1900.3,33,7.549767047427312
2020-11-30,1863.5,34,7.530211718919313
2020-12-31,1856.0,35,7.526178913346146
2021-01-29,1867.0,36,7.532088143541722
2021-02-26,1808.2,37,7.500087154303266
2021-03-31,1718.2,38,7.449032510203956
2021-04-30,1761.7,39,7.4740345309330944
2021-05-31,1853.2,40,7.524669153542494
2021-06-30,1834.6,41,7.514581753075555
2021-07-30,1807.1,42,7.499478629404118
2021-08-31,1784.0,43,7.486613313139955
2021-09-30,1777.3,44,7.482850637765946
2021-10-29,1776.9,45,7.482625551951029
2021-11-30,1820.2,46,7.506701664143256
2021-12-31,1786.7,47,7.488125621939122
2022-01-31,1816.8,48,7.504831990791349
2022-02-28,1856.3,49,7.526340538215178
2022-03-31,1947.8,50,7.574455809527099
2022-04-29,1933.9,51,7.5672939683682525
2022-05-31,1848.3,52,7.522021576688634
2022-06-30,1833.8,53,7.5141455956158
2022-07-29,1736.4,54,7.459569283425439
2022-08-31,1765.7,55,7.476302491308752
2022-09-30,1683.0,56,7.428333194190806
2022-10-31,1664.5,57,7.41728005701508
2022-11-30,1726.5,58,7.453851516830047
2022-12-30,1796.7,59,7.493706927938526
2023-01-31,1898.6,60,7.548872051447698
2023-02-28,1854.5,61,7.525370396929645
2023-03-31,1912.7,62,7.556271135396488
2023-04-28,2000.4,63,7.601102439544749
2023-05-31,1990.2,64,7.5959904151810616
2023-06-30,1942.9,65,7.571936981249067
2023-07-31,1948.9,66,7.575020389827978
2023-08-31,1920.0,67,7.560080465021827
2023-09-29,1917.0,68,7.558516743045645
2023-10-31,1913.0,69,7.556427969440253
2023-11-30,1985.3,70,7.593525315203033
2023-12-29,2029.3,71,7.615446184982923
2024-01-31,2034.0,72,7.617759576608505
2024-02-29,2023.2,73,7.612435695355756
2024-03-29,2158.0,74,7.67693714581808
2024-04-30,2335.5,75,7.755981279942163
2024-05-31,2352.1,76,7.763063825121498
2024-06-28,2326.3,77,7.752034301545998
2024-07-31,2395.3,78,7.781263762960851
2024-08-30,2468.0,79,7.811163385025279
2024-09-30,2567.1,80,7.850532136092119
2024-10-31,2690.1,81,7.8973336466261115
2024-11-29,2650.7,82,7.882579035041946
2024-12-31,2644.1,83,7.880086021738965
2025-01-31,2709.7,84,7.904593206638916
2025-02-28,2894.7,85,7.9706367576944475
2025-03-31,2983.3,86,8.000785349354013
2025-04-30,3207.5,87,8.07324709648979
2025-05-30,3278.0,88,8.094988759303774
2025-06-30,3352.0,89,8.117312461601975
2025-07-31,3338.3,90,8.113216974359492
2025-08-29,3363.0,91,8.12058871174027
2025-09-30,3665.2,92,8.206638183091059
2025-10-31,4053.3,93,8.307286643134024
2025-11-28,4083.0,94,8.314587291319576
2025-12-31,4289.5,95,8.36392545501302
2026-01-30,4744.5,96,8.464741331413814
2026-02-27,5019.5,97,8.521085606131582
